สถาบัน,วิทยาเขต,รหัสหลักสูตร,รหัสสาขา,รหัส โครงการ,คณะ,หลักสูตร,รายละเอียด,สาขา/ วิชาเอก,รหัสรับ ร่วม,รับ,สมัคร,ผ่าน,คะแนนสูงสุด,คะแนนต่ำสุด
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121300001A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิตสาขาวิชา วิศวกรรมศาสตร์,,,0,305,857,305,80.2664,54.6525
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121300501A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิตสาขาวิชา วิศวกรรมคอมพิวเตอร์,,,0,75,279,75,87.9798,65.9408
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121300599A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิตสาขาวิชา วิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,,,0,90,402,90,82.2091,61.1232
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121300601A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิตสาขาวิชา วิศวกรรมเคมี,,,0,5,115,5,77.3184,61.0700
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121301101A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิตสาขาวิชา วิศวกรรมนิวเคลียร์และรังสี,,,0,15,150,15,64.1959,51.8766
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121301601A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิตสาขาวิชา วิศวกรรมไฟฟ้า,,,0,15,265,15,83.1336,71.8747
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121302101A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิตสาขาวิชา วิศวกรรมโยธา,,,0,25,104,25,73.4092,54.9197
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121302501A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิตสาขาวิชา วิศวกรรมโลหการและวัสดุ,,,0,30,164,30,54.7290,49.7129
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121302701A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิตสาขาวิชา วิศวกรรมสำรวจ,,,0,32,197,32,74.2306,51.9756
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121302801A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิตสาขาวิชา วิศวกรรมสิ่งแวดล้อม,,,0,20,147,20,60.0499,52.0636
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121303001A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิตสาขาวิชา วิศวกรรมทรัพยากรธรณี,,,0,20,73,12,56.5116,48.0022
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121303501A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิตสาขาวิชา วิศวกรรมอุตสาหการ,,,0,5,71,5,77.6515,71.2572
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010122904301A,0,P2208,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,สาขาวิชาอักษร ศาสต์รเลือกสอบ วิชาคณิตศาสต์รประยุก์ต2,อักษรศาสตร์,0,20,854,20,86.9375,76.7500
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010122904301A,0,P2209,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,สาขาวิชาอักษร ศาสต์รเลือกสอบ วิชาภาษาฝรั่งเศส,อักษรศาสตร์,2231,209,286,47,89.9375,71.6875
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010122904301A,0,P2210,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,สาขาวิชาอักษร ศาสต์รเลือกสอบ วิชาภาษาเยอรมัน,อักษรศาสตร์,2231,209,93,9,82.0000,71.1875
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010122904301A,0,P2211,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,สาขาวิชาอักษร ศาสต์รเลือกสอบ วิชาภาษาญี่ปุ่น,อักษรศาสตร์,2231,209,550,84,90.1250,71.1250
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010122904301A,0,P2212,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,สาขาวิชาอักษร ศาสต์รเลือกสอบ วิชาภาษาเกาหลี,อักษรศาสตร์,2231,209,297,16,80.1875,71.1875
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010122904301A,0,P2213,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,สาขาวิชาอักษร ศาสต์รเลือกสอบ วิชาภาษาจีน,อักษรศาสตร์,2231,209,594,39,88.6875,71.2500
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010122904301A,0,P2214,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,สาขาวิชาอักษร ศาสต์รเลือกสอบ วิชาภาษาบาลี,อักษรศาสตร์,2231,209,50,0,0.0000,0.0000
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010122904301A,0,P2215,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,สาขาวิชาอักษร ศาสต์รเลือกสอบ วิชาภาษาสเปน,อักษรศาสตร์,2231,209,140,14,78.9375,71.2500
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010122904301A,D,P2206,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,สาขาวิชาภูมิศาสต์รและภูมิสารสนเทศ,ภูมิศาสต์รและภูมิ สารสนเทศ,0,9,414,9,75.6875,71.0000
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010122904301A,E,P2207,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,สาขาวิชาสารสนเทศ ศึกษา,สารสนเทศ ศึกษา,0,10,285,10,74.6250,71.0625
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123210301A,0,0,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชา คณิตศาสตร์,,,0,40,320,40,66.6974,50.6818
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123210401A,0,0,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชาเคมี,,,0,97,861,97,66.6511,45.0929
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123210402A,0,P2307,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชาเคีมวิศวกรรม,สาขาวิชาเคีมวิศวกรรม (รูปแบบที่ 1),เคมีวิศวกรรม,0,45,467,45,55.1627,44.1074
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123210402A,0,P2308,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชาเคีมวิศวกรรม,สาขาวิชาเคีมวิศวกรรม (รูปแบบที่ 2),เคมีวิศวกรรม,0,45,420,45,65.8164,57.4542
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123210501A,0,0,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชาจุล ชีววิทยา,,,0,51,1813,51,48.2388,39.6379
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123210601A,0,0,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชาชีวเคมี,,,0,36,1417,36,78.1796,43.8118
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123210701A,0,P2303,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชาชีววิทยา,สาขาวิชาชีววิทยา (รูปแบบที่ 1),,0,19,244,19,77.9074,58.2054
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123210701A,0,P2304,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชาชีววิทยา,สาขาวิชาชีววิทยา (รูปแบบที่ 2),,0,18,304,18,63.8684,57.6304
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123210901A,0,0,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชา เทคโนโลยีทางภาพและการพิมพ์,,,0,50,612,50,52.7390,44.8885
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123211001A,0,P2309,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชา เทคโนโลยีทางอาหาร,สาขาวิชาเทคโนโลียทางอาหาร (รูปแบบที่ 1),เทคโนโลียทางอาหาร,0,40,626,40,66.7848,56.8098
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123211001A,0,P2310,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชา เทคโนโลยีทางอาหาร,สาขาวิชาเทคโนโลียทางอาหาร (รูปแบบที่ 2),เทคโนโลียทางอาหาร,0,40,1080,40,54.0630,40.6480
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123212301A,0,0,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชา ธรณีวิทยา,,,0,14,244,14,69.8340,56.2306
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123212501A,0,0,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชา พฤกษศาสตร์,,,0,50,783,50,50.5368,42.4332
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123212601A,0,0,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชาพันุธศาสตร์,,,0,50,372,50,56.9484,44.7732
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123212701A,0,0,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชาฟิสิกส์,,,0,50,255,50,60.2866,44.9739
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123212801A,0,0,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชาวัสุดศาสตร์และเทคโนโลยี,,วัสดุศาสต์รและเทคโนโลยี,0,98,951,98,42.7500,36.1664
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123213001A,0,0,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชา วิทยาศาสตร์ทางทะเล,,,0,43,1634,43,46.5088,41.4956
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123213101A,0,0,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชา วิทยาศาสตร์สิ่งแวดล้อม,,,0,80,263,80,47.6410,34.5597
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123213201A,0,P2305,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชาสัตว วิทยา,สาขาวิชาสัตววิทยา (รูปแบบที่ 1),,0,6,84,6,70.2928,58.4804
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123213201A,0,P2306,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชาสัตว วิทยา,สาขาวิชาสัตววิทยา (รูปแบบที่ 2),,0,7,197,7,63.6636,57.3000
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123213501A,0,0,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิตสาขาวิชา วิทยาการคอมพิวเตอร์,,,0,50,376,50,75.1853,56.5974
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,A,P2401,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชาการ ปกครอง เลือกสอบ วิชาคณิตศาสต์รประยุก์ต2,การปกครอง,2431,61,599,46,86.5853,66.8798
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,A,P2402,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชาการ ปกครอง เลือกสอบ วิชาภาษาฝรั่งเศส,การปกครอง,2431,61,100,5,69.9435,67.5478
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,A,P2403,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชาการ ปกครอง เลือกสอบ วิชาภาษาเยอรมัน,การปกครอง,2431,61,53,3,72.7751,68.4799
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,A,P2404,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชาการ ปกครอง เลือกสอบ วิชาภาษาญี่ปุ่น,การปกครอง,2431,61,83,2,67.5000,66.9904
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,A,P2405,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชาการ ปกครอง เลือกสอบ วิชาภาษาเกาหลี,การปกครอง,2431,61,51,0,0.0000,0.0000
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,A,P2406,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชาการ ปกครอง เลือกสอบ วิชาภาษาจีน,การปกครอง,2431,61,90,2,68.5666,68.0890
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,A,P2407,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชาการ ปกครอง เลือกสอบ วิชาภาษาสเปน,การปกครอง,2431,61,50,3,69.5055,67.1479
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,B,P2408,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชา ความสัมพัน์ธระหว่างประเทศ เลือกสอบวิชา คณิตศาสตร์ประยุก์ต2,ความสัมพัน์ธระหว่าง ประเทศ,2432,66,350,12,86.1202,73.9924
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,B,P2409,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชา ความสัมพัน์ธระหว่างประเทศ เลือกสอบวิชา ภาษาไทย,ความสัมพัน์ธระหว่าง ประเทศ,2432,66,868,34,82.9646,74.0514
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,B,P2410,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชา ความสัมพัน์ธระหว่างประเทศ เลือกสอบวิชาภาษา ฝรั่งเศส,ความสัมพัน์ธระหว่าง ประเทศ,2432,66,92,10,84.2778,74.8648
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,B,P2411,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชา ความสัมพัน์ธระหว่างประเทศ เลือกสอบวิชา ภาษาเยอรมัน,ความสัมพัน์ธระหว่าง ประเทศ,2432,66,41,2,87.6358,78.0400
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,B,P2412,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชา ความสัมพัน์ธระหว่างประเทศ เลือกสอบวิชา ภาษาญี่ปุ่น,ความสัมพัน์ธระหว่าง ประเทศ,2432,66,85,4,80.6232,76.1752
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,B,P2413,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชา ความสัมพัน์ธระหว่างประเทศ เลือกสอบวิชาภาษา เกาหลี,ความสัมพัน์ธระหว่าง ประเทศ,2432,66,50,0,0.0000,0.0000
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,B,P2414,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชา ความสัมพัน์ธระหว่างประเทศ เลือกสอบวิชา ภาษาจีน,ความสัมพัน์ธระหว่าง ประเทศ,2432,66,95,4,83.2996,74.5256
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,B,P2415,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชา ความสัมพัน์ธระหว่างประเทศ เลือกสอบวิชาภาษา สเปน,ความสัมพัน์ธระหว่าง ประเทศ,2432,66,40,0,0.0000,0.0000
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,C,P2416,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชาสังคมวิทยา และมานุษยวิทยา เลือกสอบวิชา คณิตศาสตร์ประยุก์ต2,สังคมวิทยา และ มานุษยวิทยา,2433,64,237,8,75.5158,70.3588
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,C,P2417,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชาสังคมวิทยา และมานุษยวิทยา เลือกสอบวิชา ภาษาไทย,สังคมวิทยา และ มานุษยวิทยา,2433,64,831,47,82.6863,69.9938
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,C,P2418,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชาสังคมวิทยา และมานุษยวิทยา เลือกสอบวิชาภาษา ฝรั่งเศส,สังคมวิทยา และ มานุษยวิทยา,2433,64,57,3,72.1558,70.0485
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,C,P2419,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชาสังคมวิทยา และมานุษยวิทยา เลือกสอบวิชา ภาษาเยอรมัน,สังคมวิทยา และ มานุษยวิทยา,2433,64,35,0,0.0000,0.0000
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,C,P2420,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชาสังคมวิทยา และมานุษยวิทยา เลือกสอบวิชา ภาษาญี่ปุ่น,สังคมวิทยา และ มานุษยวิทยา,2433,64,66,3,71.2893,70.3978
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,C,P2421,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชาสังคมวิทยา และมานุษยวิทยา เลือกสอบวิชาภาษา เกาหลี,สังคมวิทยา และ มานุษยวิทยา,2433,64,39,1,71.1785,71.1785
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,C,P2422,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชาสังคมวิทยา และมานุษยวิทยา เลือกสอบวิชา ภาษาจีน,สังคมวิทยา และ มานุษยวิทยา,2433,64,82,2,72.2973,71.6985
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,C,P2423,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชาสังคมวิทยา และมานุษยวิทยา เลือกสอบวิชาภาษา สเปน,สังคมวิทยา และ มานุษยวิทยา,2433,64,34,0,0.0000,0.0000
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,D,P2424,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชารัฐ ประศาสนศาสต์รเลือกสอบวิชา คณิตศาสตร์ประยุก์ต2,รัฐ ประศาสน ศาสตร์,2434,67,643,12,71.9382,68.2995
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,D,P2425,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชารัฐ ประศาสนศาสต์รเลือกสอบวิชา ภาษาอังกฤษ,รัฐ ประศาสน ศาสตร์,2434,67,1172,54,74.1873,68.3276
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,D,P2426,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชารัฐ ประศาสนศาสต์รเลือกสอบวิชาภาษา ฝรั่งเศส,รัฐ ประศาสน ศาสตร์,2434,67,62,0,0.0000,0.0000
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,D,P2427,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชารัฐ ประศาสนศาสต์รเลือกสอบวิชา ภาษาเยอรมัน,รัฐ ประศาสน ศาสตร์,2434,67,46,0,0.0000,0.0000
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,D,P2428,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชารัฐ ประศาสนศาสต์รเลือกสอบวิชา ภาษาญี่ปุ่น,รัฐ ประศาสน ศาสตร์,2434,67,73,1,70.6644,70.6644
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,D,P2429,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชารัฐ ประศาสนศาสต์รเลือกสอบวิชาภาษา เกาหลี,รัฐ ประศาสน ศาสตร์,2434,67,51,0,0.0000,0.0000
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,D,P2430,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชารัฐ ประศาสนศาสต์รเลือกสอบวิชา ภาษาจีน,รัฐ ประศาสน ศาสตร์,2434,67,107,0,0.0000,0.0000
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010124903201A,D,P2431,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,สาขาวิชารัฐ ประศาสนศาสต์รเลือกสอบวิชาภาษา สเปน,รัฐ ประศาสน ศาสตร์,2434,67,49,0,0.0000,0.0000
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010125400201A,0,0,คณะสถาปัตยกรรมศาสตร์,หลักสูตรการออกแบบอุตสาหกรรมบัณฑิตสาขาวิชาการออกแบบอุตสาหกรรม,,,0,10,83,10,67.8000,54.2500
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010125400301A,0,0,คณะสถาปัตยกรรมศาสตร์,หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิตสาขาวิชาภูมิสถาปัตยกรรม,,,0,14,146,14,58.4000,53.6000
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010125400401A,0,0,คณะสถาปัตยกรรมศาสตร์,หลักสูตรสถาปัตยกรรมศาสตรบัณฑิตสาขาวิชาสถาปัตยกรรมผังเมือง,,,0,12,121,12,55.5500,50.9000
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010125400501A,0,0,คณะสถาปัตยกรรมศาสตร์,หลักสูตรสถาปัตยกรรมศาสตรบัณฑิตสาขาวิชาสถาปัตยกรรม,,,0,10,175,10,74.3000,59.3500
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010125400701A,0,0,คณะสถาปัตยกรรมศาสตร์,หลักสูตรสถาปัตยกรรมศาสตรบัณฑิตสาขาวิชาสถาปัตยกรรมภายใน,,,0,8,148,8,61.5000,57.9000
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010126610501A,0,P2603,คณะพาณิชยศาสตร์และการบัญชี,หลักสูตรบัญชีบัณฑิต,หลักสูตรบัญชีบัณฑิต(รูปแบบที่ 1),,0,202,2351,202,93.7776,86.0860
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010126610501A,0,P2604,คณะพาณิชยศาสตร์และการบัญชี,หลักสูตรบัญชีบัณฑิต,หลักสูตรบัญชีบัณฑิต(รูปแบบที่ 2),,0,60,621,60,90.7184,59.8872
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010126610801A,0,P2605,คณะพาณิชยศาสตร์และการบัญชี,หลักสูตรบริหารธุรกิจบัณฑิต,หลักสูตร บริหารธุรกิจบัณฑิต(รูปแบบที่ 1),,0,200,2618,200,93.0344,83.0400
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010126610801A,0,P2606,คณะพาณิชยศาสตร์และการบัญชี,หลักสูตรบริหารธุรกิจบัณฑิต,หลักสูตร บริหารธุรกิจบัณฑิต(รูปแบบที่ 2),,0,60,687,60,74.3440,55.6640
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010126610901A,A,P2607,คณะพาณิชยศาสตร์และการบัญชี,หลักสูตรสถิติศาสตรบัณฑิต,หลักสูตรสถิติศาสตร บัณฑิต,สถิติและ วิทยาการ ข้อมูล,0,39,390,39,85.6744,55.4908
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010126610901A,B,P2607,คณะพาณิชยศาสตร์และการบัญชี,หลักสูตรสถิติศาสตรบัณฑิต,หลักสูตรสถิติศาสตร บัณฑิต,การ ประกันภัย,0,43,419,43,85.9760,54.8172
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010126610901A,C,P2607,คณะพาณิชยศาสตร์และการบัญชี,หลักสูตรสถิติศาสตรบัณฑิต,หลักสูตรสถิติศาสตร บัณฑิต,เทคโนโลียสารสนเทศ เพื่อธุรกิจ,0,43,462,43,66.7260,53.4068
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010127703701A,A,0,คณะครุศาสตร์,หลักสูตรครุศาสตรบัณฑิต,,การศึกษา ปฐมวัย,0,23,706,23,84.1501,75.9227
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010127703701A,B,P2717,คณะครุศาสตร์,หลักสูตรครุศาสตรบัณฑิต,วิชาเอกประถมศึกษา เลือกสอบวิชา คณิตศาสตร์ประยุก์ต1,ประถมศึกษา,2731,32,86,0,0.0000,0.0000
